Message 1,Message 2,Response,M1 Send Time,M2 Receive Time,Number of Words (M1),Number of Punctuation (M1),Presence of Emojis (M1),Presence of Images (M1),Presence of Videos (M1),Presence of Links (M1),Number of Words (M2),Number of Punctuation (M2),Presence of Emojis (M2),Presence of Images (M2),Presence of Videos (M2),Presence of Links (M2),TimeOfResponse
I'm going to learn how to bake a chocolate cake. 🍰,Baking a chocolate cake is delicious! What's your secret ingredient? 🍫,No,11/8/2023 21:45,11/9/2023 21:45,8,3,Yes,No,No,No,9,3,Yes,No,No,No,8.481980584
I'm planning a weekend getaway by the lake. 🌅,Weekend getaways by the lake are so relaxing! Any particular lake you have in mind? 🏞️,No,11/8/2023 21:50,11/8/2023 21:55,8,3,Yes,No,No,No,8,3,Yes,No,No,No,3.448190986
I'm going to a rock music concert. 🎸,Rock concerts are energetic! Which rock band are you going to see? 🎤,No,11/8/2023 21:55,11/8/2023 22:00,6,3,Yes,No,No,No,9,3,Yes,No,No,No,4.154955802
I'm planning a day at the beach with my family. 🏖️,Beach days with family are fun! What beach activities are you looking forward to? 🌞,No,11/8/2023 22:00,11/8/2023 22:05,8,3,Yes,No,No,No,8,3,Yes,No,No,No,6.98159935
I'm going to start a new workout routine. 💪,Starting a new workout routine is great for your health! What's your fitness goal? 🏋️,No,11/8/2023 22:05,11/8/2023 22:10,7,3,Yes,No,No,No,9,3,Yes,No,No,No,11.38942945
I'm planning a barbecue in my backyard. 🍔,Barbecues are tasty! What's your special barbecue sauce recipe? 🍖,No,11/8/2023 22:10,11/8/2023 22:15,7,3,Yes,No,No,No,8,3,Yes,No,No,No,6.084658217
I'm going to learn how to salsa dance. 💃,Learning to dance salsa is exciting! Have you danced before? 💃🕺,No,11/8/2023 22:15,11/8/2023 22:20,7,3,Yes,No,No,No,9,3,Yes,No,No,No,9.444956142
I'm planning a visit to an art gallery. 🖼️,Art galleries are inspiring! Do you have a favorite art style? 🎨,No,11/8/2023 22:20,11/8/2023 22:25,7,3,Yes,No,No,No,8,3,Yes,No,No,No,4.918687504
I'm going to a basketball game. 🏀,Basketball games are thrilling! Which teams are playing tonight? 🤔,No,11/8/2023 22:25,11/8/2023 22:30,7,3,Yes,No,No,No,9,3,Yes,No,No,No,9.905547024
I'm planning a day at the amusement park. 🎢,Amusement parks are so much fun! What's your favorite ride there? 🎡,No,11/8/2023 22:30,11/8/2023 22:35,7,3,Yes,No,No,No,8,3,Yes,No,No,No,12.24851385
I'm going to start a new gardening project. 🌱,Gardening is relaxing! What kind of plants will you be planting? 🌻,No,11/8/2023 22:35,11/8/2023 22:40,7,3,Yes,No,No,No,9,3,Yes,No,No,No,5.627222294
I'm planning a visit to the zoo. 🦁,Zoo visits are fascinating! Any specific animals you're excited to see? 🦒,No,11/8/2023 22:40,11/8/2023 22:45,7,3,Yes,No,No,No,8,3,Yes,No,No,No,5.2069058
I'm going to a comedy show tonight. 😂,Comedy shows are hilarious! Who's your favorite comedian? 🎤,No,11/8/2023 22:45,11/8/2023 22:50,6,3,Yes,No,No,No,9,3,Yes,No,No,No,12.56043875
I'm planning a quiet night in. 🌙,Quiet nights in can be relaxing! Any movie or book in mind? 🍿📚,No,11/8/2023 22:50,11/8/2023 22:55,6,3,Yes,No,No,No,8,3,Yes,No,No,No,12.34433494
I'm going to cook a special dinner tonight. 🍳,Cooking special dinners is fun! What's on the menu? 🍽️,No,11/8/2023 22:55,11/8/2023 23:00,6,3,Yes,No,No,No,9,3,Yes,No,No,No,5.383164147
